epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,60.5114,0.74333,0.68293,1,0.57042,0.000463798,0.000463798,0.000463798
2,120.259,0.16499,1,1,0.04524,0.000921517,0.000921517,0.000921517
3,173.902,0.06642,1,1,0.00025,0.00136037,0.00136037,0.00136037
4,226.375,0.06046,1,1,0.01082,0.00134412,0.00134412,0.00134412
5,287.755,0.05232,1,1,0.00079,0.00131582,0.00131582,0.00131582
6,339.949,0.07111,1,1,0.00024,0.00128753,0.00128753,0.00128753
7,392.606,0.04301,1,1,1e-05,0.00125923,0.00125923,0.00125923
8,445.637,0.01964,1,1,0,0.00123094,0.00123094,0.00123094
9,502.023,0.02564,1,1,5e-05,0.00120265,0.00120265,0.00120265
10,557.73,0.013,1,1,0.00338,0.00117435,0.00117435,0.00117435
11,612.568,0.02792,1,1,2e-05,0.00114606,0.00114606,0.00114606
12,664.371,0.03131,1,1,1e-05,0.00111776,0.00111776,0.00111776
13,716.929,0.03009,1,1,0,0.00108947,0.00108947,0.00108947
14,772.422,0.01374,1,1,0,0.00106118,0.00106118,0.00106118
15,824.822,0.0343,1,1,0,0.00103288,0.00103288,0.00103288
16,877.438,0.02353,1,1,3e-05,0.00100459,0.00100459,0.00100459
17,929.844,0.03216,1,1,1e-05,0.000976293,0.000976293,0.000976293
18,982.494,0.01972,1,1,0,0.000947999,0.000947999,0.000947999
19,1035.66,0.01863,1,1,1e-05,0.000919704,0.000919704,0.000919704
20,1088.62,0.01802,1,1,2e-05,0.00089141,0.00089141,0.00089141
21,1140.56,0.00975,1,1,1e-05,0.000863116,0.000863116,0.000863116
22,1193.51,0.00755,1,1,0,0.000834822,0.000834822,0.000834822
23,1245.83,0.00646,1,1,0,0.000806528,0.000806528,0.000806528
24,1298.37,0.00679,1,1,0,0.000778233,0.000778233,0.000778233
25,1353.6,0.00322,1,1,0,0.000749939,0.000749939,0.000749939
26,1406.69,0.01431,1,1,0,0.000721645,0.000721645,0.000721645
27,1459.03,0.00102,1,1,0,0.000693351,0.000693351,0.000693351
28,1511.82,0.00868,1,1,0,0.000665057,0.000665057,0.000665057
29,1563.96,0.00659,1,1,0,0.000636762,0.000636762,0.000636762
30,1618.96,0.00548,1,1,0,0.000608468,0.000608468,0.000608468
31,1671.85,0.00565,1,1,0,0.000580174,0.000580174,0.000580174
32,1724.51,0.00344,1,1,0,0.00055188,0.00055188,0.00055188
33,1781.55,0.00502,1,1,0,0.000523586,0.000523586,0.000523586
34,1876.55,0.00599,1,1,0,0.000495291,0.000495291,0.000495291
35,1982.92,0.00226,1,1,0,0.000466997,0.000466997,0.000466997
36,2060.65,0.00496,1,1,0,0.000438703,0.000438703,0.000438703
37,2147.19,0.01316,1,1,0,0.000410409,0.000410409,0.000410409
38,2229.99,0.00375,1,1,0,0.000382115,0.000382115,0.000382115
39,2288.06,0.01045,1,1,0,0.00035382,0.00035382,0.00035382
40,2343.69,0.00135,1,1,0,0.000325526,0.000325526,0.000325526
41,2401.2,0.00905,1,1,0,0.000297232,0.000297232,0.000297232
42,2468.2,0.0035,1,1,0,0.000268938,0.000268938,0.000268938
43,2573.68,0.00772,1,1,0,0.000240644,0.000240644,0.000240644
44,2673.13,0.00182,1,1,0,0.000212349,0.000212349,0.000212349
45,2797.54,0.00161,1,1,0,0.000184055,0.000184055,0.000184055
46,2917.54,0.00218,1,1,0,0.000155761,0.000155761,0.000155761
47,3016.73,0.00352,1,1,0,0.000127467,0.000127467,0.000127467
48,3081.58,0.002,1,1,0,9.91726e-05,9.91726e-05,9.91726e-05
49,3140.77,0.00168,1,1,0,7.08784e-05,7.08784e-05,7.08784e-05
50,3197.58,0.00392,1,1,0,4.25842e-05,4.25842e-05,4.25842e-05
